has_college_degree,max_degree,age_group,has_high_income,is_urban,is_married,industry,has_credit_card,owns_home,has_invested_before,risk_tolerance,geographic_region,primary_language,gender,has_multiple_income_sources,digital_literacy,considered_successful
True,bachelor,18-25,True,False,True,finance,True,True,False,medium,east,mandarin,male,False,low,False
True,bachelor,26-35,False,True,False,education,True,False,True,medium,north,mandarin,other,False,high,False
True,bachelor,55+,False,True,True,finance,True,False,False,high,north,spanish,male,True,high,False
True,bachelor,18-25,True,True,False,finance,True,True,True,low,east,other,male,True,medium,False
True,bachelor,26-35,False,True,False,finance,False,False,True,low,north,english,female,True,high,False
True,master,26-35,True,True,False,healthcare,True,True,True,low,south,spanish,male,False,medium,False
True,master,46-55,False,False,True,healthcare,True,False,False,high,west,english,female,False,medium,False
True,master,36-45,True,True,True,finance,False,False,False,high,south,english,other,True,medium,True
False,high_school,55+,True,False,False,education,True,False,False,medium,west,spanish,male,False,medium,False
True,master,36-45,False,True,False,tech,True,True,True,medium,north,english,other,False,medium,False
True,bachelor,18-25,True,False,True,education,True,False,False,medium,south,other,other,False,high,True
True,master,36-45,True,True,False,other,True,False,True,low,north,english,male,True,medium,True
True,bachelor,55+,False,True,True,healthcare,False,True,False,high,west,other,male,False,low,False
True,phd,46-55,True,True,True,tech,True,True,True,medium,east,other,other,False,low,False
True,bachelor,36-45,False,False,True,tech,True,False,True,low,east,other,male,True,medium,False
True,master,36-45,True,True,True,other,True,False,True,medium,south,mandarin,female,True,high,True
True,phd,46-55,False,False,False,other,True,False,True,low,north,english,female,False,medium,False
False,high_school,26-35,False,True,False,finance,True,False,False,low,north,spanish,male,False,medium,False
True,bachelor,36-45,False,True,True,healthcare,True,False,True,medium,south,spanish,other,True,medium,False
False,high_school,18-25,False,False,False,healthcare,True,True,False,low,east,english,male,False,medium,False
False,high_school,26-35,True,True,False,education,False,True,True,medium,west,mandarin,male,False,medium,False
True,bachelor,46-55,False,True,False,finance,True,True,False,low,south,mandarin,other,False,medium,False
False,high_school,18-25,False,True,True,finance,True,False,True,low,west,other,other,False,high,False
False,high_school,18-25,False,True,True,finance,True,True,True,low,east,english,female,False,high,False
False,high_school,46-55,True,False,True,finance,True,False,False,low,north,english,other,False,medium,False
